Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
C,,4/24/2001,1.0,4.8,8.1,0.4,0.4,23.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
C,,5/8/2001,1.0,,8.5,0.4,0.4,19.5,,64.0,0:00,Not Recorded,,,17.77777778,2001
C,,5/22/2001,3.0,2.5,7.6,0.32,0.32,24.0,,72.0,0:00,Not Recorded,,,22.22222222,2001
C,,6/5/2001,2.0,,8.3,0.3,0.3,23.0,,71.0,0:00,Not Recorded,,,21.66666667,2001
C,,6/18/2001,2.0,4.0,8.4,0.3,0.3,27.0,,77.0,0:00,Not Recorded,,,25.0,2001
C,,7/5/2001,2.5,,7.9,0.25,0.25,26.0,,75.0,0:00,Not Recorded,,,23.88888889,2001
C,,7/20/2001,,,,,,,,,0:02,Not Recorded,,,-17.77777778,2001
C,,8/8/2001,3.0,,8.5,0.25,0.25,31.0,,82.0,0:00,Not Recorded,,,27.77777778,2001
C,,8/20/2001,2.5,5.5,7.9,0.3,0.3,28.0,,80.0,0:00,Not Recorded,,,26.66666667,2001
C,,9/5/2001,3.0,,7.9,0.2,0.2,25.0,,76.0,0:00,Not Recorded,,,24.44444444,2001
C,,9/18/2001,2.0,,8.7,0.2,0.2,24.0,,78.0,0:00,Not Recorded,,,25.55555556,2001
C,,10/2/2001,3.0,6.1,8.3,0.25,0.25,23.0,,73.0,0:00,Not Recorded,,,22.77777778,2001
C,,10/22/2001,3.0,,8.2,0.25,0.25,20.0,,68.0,0:00,Not Recorded,,,20.0,2001
C,,11/6/2001,3.0,,8.3,0.3,0.3,13.0,,52.9,21:36,Not Recorded,,,11.61111111,2001
C,,11/20/2001,3.0,,,0.2,0.2,13.0,,52.0,0:00,Not Recorded,,,11.11111111,2001
C,,12/4/2001,,,8.3,0.15,0.15,19.0,,54.7,16:48,Not Recorded,,,12.61111111,2001
D,,1/8/2001,0.0,9.7,8.8,1.0,1.25,6.0,,43.0,0:00,Not Recorded,,,6.111111111,2001
D,,1/23/2001,0.0,,9.2,1.1,1.35,5.0,,38.8,19:12,Not Recorded,,,3.777777778,2001
